ID_Record,Legal Account,Bus External ID,Legal Firm,Legal Type,Legal Type Def,Legal Status,LE Creation Date,LE Modified Date,LE Closed Date,Legal Tax Category,IRS TIN ID,MPID,GIIN ID,FACTA ID,WCIS ID,TEFRA ID
5,21440895,5KHG06,Underwood & Vasquez Litigators,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2019-05-04,2023-11-18,,I,7082149,621997,267404,116993006,13484,9765676
6,30577930,6UCC08,Carter & Young Consultants,AFD,Allowance For Depreciation,ACTIVE,2014-02-27,2016-11-29,,D,1865695,193134,238605,292070045,29496,5750843
4,19225939,1KTT04,Vasquez & Owens Legal,BENE,Beneficiary credentail for investment,ACTIVE,2000-01-22,2015-02-16,,I,1321815,416139,152599,637041896,74757,6626715
8,23221837,9OEI04,Harris & Lewis Partners,ADVIS,Legal Advisor,ACTIVE,1997-04-12,1998-10-12,,Bt,2133074,267735,249993,156709640,62973,7342597
6,56643072,1ELD05,Owens & Young Advocates,AG,Agriculture,ACTIVE,2022-07-23,,,Bt,8441524,550625,130809,358765896,66637,6470038
2,52860907,1GOI06,Garcia & Parker Partners,BENE,Beneficiary credentail for investment,ACTIVE,2015-09-13,2016-03-24,,I,1148237,305860,426087,721818577,55599,1745723
9,39847904,9KZW06,Young & Taylor Defenders,BENE,Beneficiary credentail for investment,ACTIVE,1994-05-24,1997-12-04,,I,6158086,217751,819470,859733253,80755,3438803
6,19225939,9KZW06,,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,1996-02-21,2006-10-10,,G,6315385,791135,873556,430676888,30075,9945545
4,19225939,9OEI04,Smith & Taylor Advocates,TRADR,Trader credential account,ACTIVE,2001-06-28,2013-03-30,,I,6818214,192180,985525,848937623,39310,9058996
9,54146786,9GRS09,Owens & Williams Advocates,ADVIS,Legal Advisor,HISTORY,2006-11-14,2018-09-20,2021-01-29,G,9715241,111771,472760,732514526,13511,5774265
