ID_Record,Tax Account,Legal Account ID,Sec ID,CUSIP,Entry CD,Currency,Net Amount,Withholding Amount,Credit and Debit,Tax Type,Tax Type Definition,Transaction Date
877,45098190,32344168,3587233,5559790,DIV,EUR,61458,8354,Debit,C+MV,Cost Plus Market Value,2023-12-02
273,78282413,67720506,1408077,4565500,INT,CAD,88392,363,Debit,OMO,Open Market Option,2023-05-01
373,53274249,47157186,9854899,5540787,DIV,EUR,83286,4438,Credit,IHT,Inheritance Tax,2014-12-16
653,41074141,95851287,695056,9513036,DIV,USD,13237,6329,Credit,WoM,Whole of Market,2023-11-22
913,17081446,48250434,8329203,7475505,DIV,USD,16398,2217,Debit,BA,Bank Adjustments,2023-05-11
249,68701700,67713469,4722722,8743658,INT,USD,38966,2936,Debit,CESR,Committee of European Securities Regulators,2021-05-17
710,86210698,54161705,4223618,7238070,DIV,USD,25676,1503,Credit,CESR,Committee of European Securities Regulators,2012-02-29
485,46252134,54196388,5134545,6524023,DIV,SEK,94819,3339,Debit,RoC,Return on Capital,2020-04-21
786,32344168,93507249,4868248,2637567,INT,USD,61019,9821,Debit,EBT,Earnings Before Taxes,2016-12-23
994,88387391,40635398,9173014,2498526,DIV,USD,33467,5882,Debit,FTT,Financial Transaction Tax,2018-11-20
338,85147159,86210698,4731164,1025401,DIV,USD,33364,9963,Debit,MBI,Management Buy In,2013-05-30
88,17488440,97583144,2071205,8820042,DIV,USD,36265,5327,Debit,C/S,Cost Sharing,2018-04-23
552,30258933,95405870,7279826,7589171,DIV,CHF,31688,9399,Debit,WPICC,With Profits Insurance Capital Component,2023-11-15
325,68424776,35930692,1389015,6373194,INT,USD,80906,2700,Debit,CIMPS,Contracted-in Money Purchase Scheme,2014-04-02
230,82336394,22235689,5050949,5412710,INT,CNY,40663,9694,Credit,LTI,Loan to Income,2018-01-27
693,68571659,10652545,7052797,3642510,DIV,USD,27425,4353,Debit,BEN/BENF,Benefit(s),2015-01-23
571,38991079,21998322,6058327,3826277,DIV,CHF,15669,8122,Debit,WPA,With Profits Actuary / With Profits Annuity,2017-01-17
88,66547407,63650982,9012542,8468904,DIV,USD,40556,9435,Debit,NBV,Net Book Value,2014-06-14
953,20780939,63650982,6147208,3024275,DIV,NZD,61477,8419,Credit,FTT,Financial Transaction Tax,2013-08-04
157,79051114,45624217,3512373,3564176,INT,NZD,4675,955,Credit,RCM,Risk Capital Margin,2014-09-23
356,48100808,65901822,8564255,6278467,INT,USD,48969,2611,Credit,ADDL,Additional,2010-07-07
846,16148534,15016262,4759395,8648738,DIV,USD,74259,9545,Credit,PBT,Profit before Taxes,2014-06-24
101,87482300,80238462,1667857,3208447,DIV,CHF,37033,7246,Debit,ABACCR,Absences Accrual - (As In Compensated Absences Accrual),2015-08-10
356,13764709,85347687,2536305,4260738,DIV,EUR,5723,5618,Debit,C/S,Cost Sharing,2011-12-31
328,62076593,57833378,471828,1127383,DIV,USD,5664,3496,Debit,WoM,Whole of Market,2018-11-03
228,47302241,70955992,8156151,3206133,INT,USD,53688,3854,Debit,BA,Bank Adjustments,2016-10-21
194,80188763,68571659,2750217,5687787,DIV,CHF,75478,5392,Debit,CESR,Committee of European Securities Regulators,2016-06-29
71,14628418,67449811,8819417,8420786,INT,USD,23577,4806,Credit,WoM,Whole of Market,2016-07-28
996,10263833,62076593,8906442,3139999,DIV,USD,16022,7887,Debit,AFD,Allowance For Depreciation,2019-07-14
886,16538415,42932238,4762155,3286432,DIV,USD,64519,4866,Debit,NBV,Net Book Value,2011-11-20
337,19147842,28112248,8304313,3283367,DIV,USD,66941,1102,Credit,Q3,Third quarter of the year,2018-06-10
619,79152771,41466196,7256172,2350976,DIV,SEK,39637,9973,Credit,FTT,Financial Transaction Tax,2020-01-16
915,37894022,76350607,8967490,2655452,INT,EUR,52743,8013,Debit,CAR,Centralized Accounts Receivable,2010-07-29
623,33699185,41069180,4815097,1167570,DIV,CNY,34509,1573,Credit,B & C,Bonds And Coupons,2020-09-10
440,82830839,72861443,4071597,8571575,DIV,USD,46444,8215,Debit,PV,Present Value,2015-05-31
